type,title,author,year,latitude,longitude,image_name
Escultura,LA IGUALDAD - EL VOTO FEMENINO,OLGA INÉS ARANGO,sin fecha,6.272001,-75.563505,olgainesarango_laigualdadelvotofemenino.png
Escultura,MARÍA CANO,JORGE VÉLEZ CORREA,2006,6.270616,-75.563449,jorgevelezcorrea_mariacano.png
Escultura,BENEDIKTA ZUR NIEDEN DE ECHAVARRÍA,LUZ MARIA PIEDRAHITA,2006,6.272033,-75.563717,luzmariapiedrahita_benediktazurniedendeechavarria.png
Escultura,CACICA DABEIBA,PAULA ANDREA ÚSUGA JIMENEZ,2006,6.271985,-75.563830,paulaandreausugajimenez_cacicadabeiba.png
Escultura,CACICA AGRAZABA,MARTHA ISABEL ARROYABE RUIZ,2006,6.272001,-75.563676,marthaisabelarroyaberuiz_cacicaagrazaba.png
Escultura,MARIA CENTENO,GLORIA LONDOÑO ARANGO,2006,6.271920,75.563765,glorialondonoarango_mariacenteno.png
Escultura,SIMONA DUQUE,MARIA RAQUEL SIERRA VARELA,2006,6.272017,-75.563660,mariaraquelsierravarela_simonaduque.png
Escultura,MADRE LAURA,CARLOS MARIO VÉLEZ,2006,6.272041,75.563530,carlosmariovelez_madrelaura.png
Escultura,JESUSITA VALLEJO DE MORA VÁSQUEZ,GLORIA LONDOÑO ARANGO,2006,6.272217,-75.563725,glorialondonoarango_jesusitavallejodemoravasquez.png
Escultura,MARÍA MARTINEZ DE NISSER,MARIA RAQUEL SIERRA VARELA,2006,6.272154,-75.563739,mariaraquelsierravarela_mariamartinezdenisser.png
Escultura,BLANCA ISAZA JARAMILLO MEZA,JANETH REYES RIVERA,2006,6.272126,-75.563610,janethreyesrivera_blancaisazajaramillomeza.png
Escultura,DEBORA ARANGO PEREZ,JANETH REYES RIVERA,2006,6.272086,-75.563573,janethreyesrivera_deboraarangoperez.png
Escultura,LUZ CASTRO DE GUTIERREZ,LUZ MARIA PIEDRAHITA,2006,6.272066,-75.563530,luzmariapiedrahita_luzcastrodegutierrez.png
Escultura,LUZMILA ACOSTA DE OCHOA,MARTHA CECILIA PEREZ LOZANO,2006,6.272049,-75.563476,marthaceciliaperezlozano_luzmilaacostadeochoa.png
Escultura,ROSITA TURIZO DE TRUJILLO,OLGA INÉS ARANGO,2006,6.272160,-75.563634,olgainesarango_rositaturizodetrujillo.png
Escultura,EL DEPORTE,FANOR HERNÁNDEZ ORDOÑEZ,2003,6.253304,-75.588270,fanorhernandezordonez_eldeporte.png
Escultura,EL CARRETILLERO,JANETH REYES RIVERA,2003,6.256971,-75.572920,janethreyesrivera_elcarretillero.png
Escultura,GUILLERMO CANO,autor desconocido,2007,6.253031,-75.564623,autordesconocido_guillermocano.png
Escultura,CRISTO PROMETEO,RODRIGO ARENAS BETANCUR,2003,6.277437,-75.635768,rodrigoarenasbetancur_cristoprometeo.png
Escultura,HOMENAJE AL ARRIERO,GABRIEL JAIME VÉLEZ,2008,6.277490,-75.635628,grabieljaimevelez_homenajealarriero.png
Escultura,EL GATO,FERNANDO BOTERO,2010,6.277892,-75.635295,fernandobotero_elgato.png
Escultura,LOS NIÑOS DE VILLATINA,EDGAR GAMBOA VELÁSQUEZ,2003,6.249304,-75.562108,edgargamboavelasquez_losninosdevillatina.png
Escultura,HOMENAJE AL SILLETERO, LUZ MARIA PIEDRAHITA,1997,6.209703,-75.498219,luzmariapiedrahita_homenajealsilletero.png
Escultura,PÁJARO 2,RUBEN,2006,6.209494,-75.497777,ruben_pajaro2.png
Escultura,PÁJARO 1,RUBEN,2006,6.209187,-75.497670,ruben_pagaro1.png
Escultura,LA PRIMAVERA,LUZ MARIA PIEDRAHITA,1997,6.209466,-75.497808,luzmariapiedrahita_laprimavera.png
Escultura,PALOMAS,ANÓNIMO,sin fecha,6.209995,-75.498084,anonimo_palomas.png
Escultura,SANTA ELENA DE ARVÍ,JUAN CARLOS VELÁSQUEZ RUA,2006,6.277659,-75.497703,juancarlosvelasquezrua_santaelenadearvi.png
Escultura,CHASERA,OLGA INÉS ARANGO P,2002,6.244564,-75.573699,olgainesarangop_chasera.png
Escultura,EL LOTERO,OLGA INÉS ARANGO P,2003,6.244558,-75.573632,olgainesarangop_ellotero.png
Escultura,EL LUSTRABOTAS,OLGA INÉS ARANGO P,2003,6.244553,-75.573565,olgainesarangop_ellustrabotas.png
Escultura,VENDEDOR DE PRENSA,OLGA INÉS ARANGO P,2002,6.244536,-75.573507,olgainesarangop_vendedordeprensa.png
Escultura,TORNAMESA,RONNY VAYDA,1997,6.243187,-75.574765,ronnyvayda_tornamesa.png
Escultura,RENACER,SALVADOR ARANGO,2002,6.243063,-75.574760,salvadorarango_renacer.png
Escultura,RÉPLICA LOCOMOTORA,autor desconocido,sin fecha,6.244634,-75.571992,autordesconocido_replicalocomotora.png
Escultura,BUSTO GUILLERMO GAVIRIA,autor desconocido,sin fecha,6.244783,-75.572090,autordesconocido_bustoguillermogaviria.png
Escultura,BUSTO GILBERTO ECHERRY,autor desconocido,sin fecha,6.242874,-75.574846,autordesconocido_bustogilbertoecheverry.png
Escultura,EL HINCHA,DESCONOCIDO,1994,6.258416,-75.586313,desconocido_elhincha.png
Escultura,FANTASMAS DE MEDELLÍN,GERMÁN LONDOÑO,1997,6.258543,-75.598549,germanlondono_fantasmasdemedellin.png
Escultura,CRISTO  ,JOSUE GIRALDO,1983,6.282356,-75.561242,josuegiraldo_cristo.png
Escultura,SIMÓN BOLIVAR,ANÓNIMO,sin fecha,6.285149,-75.556483,anonimo_simonbolivar.png
Escultura,EL DESAFÍO DE LA RAZA ,RODRIGO ARENAS BETANCOURT,1978,6.249967,-75.568025,rodrigoarenasbetancourt_eldesafiodelaraza.png
Escultura,MONUMENTO A LA PAZ,PABLO ECHAVARRÍA - CLARA LÓPEZ,1994,6.282374,-75.572331,pabloechavarria_claralopez_monumentoalapaz.png
Escultura,BENITO JUAREZ,DESCONOCIDO,sin fecha,6.237342,-75.570127,desconocido_benitojuarez.png
Escultura,JUAN DEL CORRAL ,VIECO,sin fecha,6.263312,-75.563145,vieco_juandelcorral.png
